ticker,first_seen_date,last_seen_date,seen_count,last_labels,last_filing_url
CURX,2026-01-05,2026-01-05,3,dilution_bank,https://www.sec.gov/Archives/edgar/data/2025942/0001493152-26-000358.txt
CVCO,2026-01-29,2026-01-29,4,dilution_bank,https://www.sec.gov/Archives/edgar/data/278166/0001628280-26-004168.txt
CVKD,2026-01-02,2026-01-02,20,convert_financing|dilution_bank|pipe_financing,https://www.sec.gov/Archives/edgar/data/1937993/0001213900-26-000448.txt
CVM,2025-11-24,2025-11-24,7,convert_financing,https://www.sec.gov/Archives/edgar/data/725363/0001654954-25-013412.txt
CWD,2026-02-05,2026-02-05,23,dilution_bank,https://www.sec.gov/Archives/edgar/data/1627282/0001104659-26-011049.txt
CYN,2025-12-04,2025-12-04,9,dilution_bank,https://www.sec.gov/Archives/edgar/data/1874097/0001213900-25-118354.txt
DAIO,2026-01-09,2026-01-09,4,convert_financing|dilution_bank|pipe_financing,https://www.sec.gov/Archives/edgar/data/351998/0001193125-26-009022.txt
DBGI,2025-12-17,2025-12-17,4,convert_financing|pipe_financing,https://www.sec.gov/Archives/edgar/data/1668010/0001493152-25-028207.txt
DCX,2025-11-25,2025-11-25,5,convert_financing|dilution_bank|pipe_financing,https://www.sec.gov/Archives/edgar/data/1957413/0001493152-25-024938.txt
DERM,2026-01-23,2026-01-23,3,dilution_bank|pipe_financing,https://www.sec.gov/Archives/edgar/data/1867066/0001104659-26-006235.txt
DEVS,2025-12-03,2025-12-03,17,convert_financing|dilution_bank,https://www.sec.gov/Archives/edgar/data/1854480/0001140361-25-044186.txt
DGICB,2026-01-29,2026-01-29,2,dilution_bank,https://www.sec.gov/Archives/edgar/data/800457/0001171843-26-000509.txt
DHIL,2026-02-03,2026-02-03,14,dilution_bank,https://www.sec.gov/Archives/edgar/data/909108/0001193125-26-035484.txt
DIT,2026-01-20,2026-01-20,3,dilution_bank,https://www.sec.gov/Archives/edgar/data/928465/0001104659-26-004794.txt
DLHC,2025-10-30,2025-10-30,1,dilution_bank,https://www.sec.gov/Archives/edgar/data/785557/0000785557-25-000152.txt
DLPN,2025-12-23,2025-12-23,6,convert_financing|dilution_bank|pipe_financing,https://www.sec.gov/Archives/edgar/data/1282224/0001079973-25-001894.txt
DOGZ,2025-12-02,2025-12-02,3,convert_financing|dilution_bank|pipe_financing,https://www.sec.gov/Archives/edgar/data/1707303/0001493152-25-025798.txt
DOMH,2025-12-12,2025-12-12,4,convert_financing,https://www.sec.gov/Archives/edgar/data/12239/0001213900-25-121286.txt
DRIO,2026-02-02,2026-02-02,12,dilution_bank,https://www.sec.gov/Archives/edgar/data/1533998/0001104659-26-009247.txt
DRUG,2026-01-09,2026-01-09,5,dilution_bank|pipe_financing,https://www.sec.gov/Archives/edgar/data/1827401/0001062993-26-000136.txt
DSS,2026-02-05,2026-02-05,4,convert_financing|dilution_bank|pipe_financing,https://www.sec.gov/Archives/edgar/data/771999/0001493152-26-005201.txt
DTCK,2026-01-05,2026-01-05,2,dilution_bank|pipe_financing,https://www.sec.gov/Archives/edgar/data/1949478/0001683168-26-000073.txt
DTCX,2026-01-30,2026-01-30,21,convert_financing|dilution_bank|pipe_financing,https://www.sec.gov/Archives/edgar/data/1853825/0001493152-26-004557.txt
DTIL,2026-01-13,2026-01-13,9,dilution_bank|pipe_financing,https://www.sec.gov/Archives/edgar/data/1357874/0001628280-26-001955.txt
DWSN,2025-11-12,2025-11-12,3,dilution_bank,https://www.sec.gov/Archives/edgar/data/799165/0001104659-25-110404.txt
DWTX,2026-01-15,2026-01-15,15,dilution_bank|pipe_financing,https://www.sec.gov/Archives/edgar/data/1818844/0001104659-26-004099.txt
DXR,2026-01-26,2026-01-26,8,convert_financing|dilution_bank|pipe_financing,https://www.sec.gov/Archives/edgar/data/27367/0001493152-26-003486.txt
ECOR,2025-10-24,2025-10-24,3,convert_financing|dilution_bank|pipe_financing,https://www.sec.gov/Archives/edgar/data/1560258/0001493152-25-019349.txt
EDSA,2025-12-12,2025-12-12,11,dilution_bank|pipe_financing,https://www.sec.gov/Archives/edgar/data/1540159/0001171843-25-007916.txt
EDTK,2025-10-07,2025-10-07,1,convert_financing|dilution_bank,https://www.sec.gov/Archives/edgar/data/1782309/0001493152-25-017313.txt
EDUC,2025-10-28,2025-10-28,2,dilution_bank,https://www.sec.gov/Archives/edgar/data/31667/0001185185-25-001554.txt
EEIQ,2025-11-24,2025-11-24,4,dilution_bank|pipe_financing,https://www.sec.gov/Archives/edgar/data/1781397/0001213900-25-114196.txt
EEX,2025-12-16,2025-12-16,2,dilution_bank,https://www.sec.gov/Archives/edgar/data/1579214/0001193125-25-320084.txt
EFOI,2025-12-02,2025-12-02,5,dilution_bank|pipe_financing,https://www.sec.gov/Archives/edgar/data/924168/0001628280-25-054586.txt
EFTY,2025-09-23,2025-09-23,1,dilution_bank,https://www.sec.gov/Archives/edgar/data/2058349/0001213900-25-090325.txt
EKSO,2026-01-22,2026-02-17,12,convert_financing|dilution_bank|pipe_financing,https://www.sec.gov/Archives/edgar/data/1549084/0001437749-26-004205.txt
ELAB,2026-02-11,2026-02-19,29,dilution_bank,https://www.sec.gov/Archives/edgar/data/1840563/0001213900-26-018189.txt
ELMD,2026-02-10,2026-02-10,4,dilution_bank,https://www.sec.gov/Archives/edgar/data/1488917/0001437749-26-003636.txt
ELTX,2025-11-13,2025-11-13,5,dilution_bank|pipe_financing,https://www.sec.gov/Archives/edgar/data/1601485/0001628280-25-052119.txt
ELWT,2025-12-19,2025-12-19,4,convert_financing|dilution_bank,https://www.sec.gov/Archives/edgar/data/2063863/0001104659-25-123161.txt
EML,2025-11-03,2025-11-03,1,convert_financing|dilution_bank,https://www.sec.gov/Archives/edgar/data/31107/0001654954-25-012528.txt
ENVB,2026-02-06,2026-02-06,24,convert_financing|dilution_bank|pipe_financing,https://www.sec.gov/Archives/edgar/data/890821/0001493152-26-005591.txt
EQS,2025-11-25,2025-11-25,3,convert_financing,https://www.sec.gov/Archives/edgar/data/878932/0000878932-25-000009.txt
ERNA,2026-02-11,2026-02-11,2,convert_financing|dilution_bank|pipe_financing,https://www.sec.gov/Archives/edgar/data/748592/0001493152-26-006227.txt
ESP,2025-12-09,2025-12-09,3,dilution_bank,https://www.sec.gov/Archives/edgar/data/33533/0001174947-25-001404.txt
ESQ,2026-02-02,2026-02-02,5,dilution_bank,https://www.sec.gov/Archives/edgar/data/1531031/0001104659-26-009293.txt
ETS,2025-12-05,2025-12-05,7,dilution_bank,https://www.sec.gov/Archives/edgar/data/2053641/0001104659-25-118576.txt
EVI,2025-12-15,2025-12-15,3,dilution_bank,https://www.sec.gov/Archives/edgar/data/65312/0001174947-25-001424.txt
EXOD,2025-12-10,2025-12-10,4,dilution_bank,https://www.sec.gov/Archives/edgar/data/1821534/0001193125-25-314369.txt
EXOZ,2026-01-26,2026-01-26,4,convert_financing|dilution_bank,https://www.sec.gov/Archives/edgar/data/2010788/0001493152-26-003622.txt
FAMI,2025-09-11,2025-09-11,1,dilution_bank|pipe_financing,https://www.sec.gov/Archives/edgar/data/1701261/0001477932-25-006654.txt
FCAP,2025-08-29,2025-08-29,1,dilution_bank,https://www.sec.gov/Archives/edgar/data/1070296/0001104659-25-085749.txt
FCCO,2026-01-09,2026-01-09,4,dilution_bank,https://www.sec.gov/Archives/edgar/data/932781/0001552781-26-000009.txt
FCUV,2026-02-05,2026-02-05,10,convert_financing,https://www.sec.gov/Archives/edgar/data/1590418/0001683168-26-000776.txt
FIEE,2026-02-02,2026-02-02,7,convert_financing|dilution_bank|pipe_financing,https://www.sec.gov/Archives/edgar/data/1467761/0001829126-26-000884.txt
FINW,2025-11-18,2025-11-18,2,convert_financing|dilution_bank|pipe_financing,https://www.sec.gov/Archives/edgar/data/1856365/0001193125-25-286203.txt
FLGC,2026-01-29,2026-01-29,8,dilution_bank,https://www.sec.gov/Archives/edgar/data/1790169/0001062993-26-000485.txt
FLXS,2025-12-16,2025-12-16,2,dilution_bank,https://www.sec.gov/Archives/edgar/data/37472/0001193125-25-320861.txt
FNLC,2025-10-22,2025-10-22,1,dilution_bank,https://www.sec.gov/Archives/edgar/data/765207/0000765207-25-000050.txt
FNWB,2026-01-29,2026-01-29,6,dilution_bank,https://www.sec.gov/Archives/edgar/data/1556727/0001437749-26-002355.txt
FNWD,2026-01-27,2026-01-27,3,dilution_bank,https://www.sec.gov/Archives/edgar/data/919864/0001628280-26-003599.txt
FONR,2025-12-30,2025-12-30,3,convert_financing|dilution_bank,https://www.sec.gov/Archives/edgar/data/355019/0001731122-25-001734.txt
FORA,2026-01-12,2026-01-12,5,dilution_bank,https://www.sec.gov/Archives/edgar/data/1829280/0001140361-26-000976.txt
FRAF,2025-12-12,2025-12-12,2,dilution_bank,https://www.sec.gov/Archives/edgar/data/723646/0000723646-25-000086.txt
FRD,2025-09-03,2025-09-03,1,dilution_bank,https://www.sec.gov/Archives/edgar/data/39092/0001437749-25-028241.txt
FRGE,2025-11-13,2025-11-13,3,dilution_bank,https://www.sec.gov/Archives/edgar/data/1827821/0001827821-25-000030.txt
FRGT,2025-09-22,2025-09-22,2,dilution_bank,https://www.sec.gov/Archives/edgar/data/1687542/0001493152-25-014408.txt
FSBW,2026-01-21,2026-01-21,6,convert_financing,https://www.sec.gov/Archives/edgar/data/1530249/0001437749-26-001639.txt
FSI,2025-11-17,2025-11-17,3,dilution_bank,https://www.sec.gov/Archives/edgar/data/1069394/0001493152-25-023818.txt
FSTR,2025-12-15,2025-12-15,4,dilution_bank,https://www.sec.gov/Archives/edgar/data/352825/0000352825-25-000140.txt
FTCI,2025-09-04,2025-09-04,1,dilution_bank,https://www.sec.gov/Archives/edgar/data/1828161/0001828161-25-000004.txt
FTEL,2025-11-28,2025-11-28,5,dilution_bank|pipe_financing,https://www.sec.gov/Archives/edgar/data/1928581/0001493152-25-025354.txt
FTFT,2025-11-28,2025-11-28,6,convert_financing|dilution_bank|pipe_financing,https://www.sec.gov/Archives/edgar/data/1066923/0001213900-25-115905.txt
FTLF,2025-11-13,2025-11-13,4,dilution_bank,https://www.sec.gov/Archives/edgar/data/1374328/0001437749-25-034610.txt
